description_id,product_id,contents
16,CF1MA012DB690FA,"""<p >Denim shorts</p>\r\n    <ul >\r\n        <li >High sailor-style waist</li>\r\n        <li >\r\n            6 \""Balmain Chain” golden metal buttons\r\n        </li>\r\n        <li >\r\n            2 pockets, western cut-out details\r\n        </li>\r\n        <li >\r\n            Model measures 178cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% cotton</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: CF1MA012DB69</li>\r\n    </ul>"""
17,EF1KL220KH806FF,"""<p >\r\n        Jacquard knit cardigan with denim effect\r\n    </p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >Structured shoulders</li>\r\n        <li >Long sleeves</li>\r\n        <li >\r\n            Fastening with 6 \""Double Chain Lion\"" press studs in gold metal\r\n        </li>\r\n        <li >\r\n            Woven Balmain Couture label on the waist\r\n        </li>\r\n        <li >Fitted cut</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 84% viscose 8% polyamide 8% polyester\r\n        </li>\r\n        <li >Made in France</li>\r\n        <li >Item: EF1KL220KH80</li>\r\n    </ul>\r\n    <p >\r\n        100% of the viscose fibres used to make this garment come from\r\n        certified, sustainably managed forests\r\n    </p>"""
18,BKB852200104,"""<p >Two-piece printed PB Labyrinth swimsuit</p>\r\n    <ul >\r\n        <li >Triangle top</li>\r\n        <li >Gold metal PB logo</li>\r\n        <li >Neck fastening with 2 tie straps</li>\r\n        <li >\r\n            Gold metal hook fastening at the back\r\n        </li>\r\n        <li >High-cut briefs</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 81% polyamide 19% elastane\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: BKB852200</li>\r\n    </ul>"""
19,EN1DB943LHLB0PA,"""<p >\r\n        Medium diamond-quilted leather Jolie Madame bag\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >\r\n            Leather and chain shoulder strap, adjustable and detachable with\r\n            snap hooks\r\n        </li>\r\n        <li >\r\n            Leather handle with engraved B logos and rings\r\n        </li>\r\n        <li >Structured side panels</li>\r\n        <li >\r\n            Metal Balmain Paris logo on the front\r\n        </li>\r\n        <li >\r\n            Magnetic fastening and leather tab\r\n        </li>\r\n        <li >Engraved metal bag feet</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >\r\n            Inside leather card pocket, embossed Balmain logo\r\n        </li>\r\n        <li >Leather lining</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 8.5 x 34.5 x 22.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1DB943LHLB</li>\r\n    </ul>"""
20,EN1DB530LHLB0PA,"""<p >\r\n        B-Buzz 23 bag in diamond-quilted calfskin\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Leather handle</li>\r\n        <li >\r\n            Removable leather shoulder strap with snap hooks\r\n        </li>\r\n        <li >\r\n            Flap with quarter-turn B-Twist clasp\r\n        </li>\r\n        <li >Patch pocket on the back</li>\r\n        <li >Inside zipped pocket</li>\r\n        <li >Inside leather card pocket</li>\r\n        <li >Metal bag feet</li>\r\n        <li >Vintage gold hardware</li>\r\n        <li >Dimensions: 23 x 20 x 11&nbsp;cm</li>\r\n        <li >Shoulder strap: 110&nbsp;cm</li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1DB530LHLB</li>\r\n    </ul>"""
21,EN1BQ954LETF0PA,"""<p >\r\n        1945 Soft Moon bag in embossed crinkled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Chain handle interlaced with leather\r\n        </li>\r\n        <li >\r\n            Adjustable removable shoulder strap with a buckle and snap hooks\r\n        </li>\r\n        <li >\r\n            Metal side plaques with engraved B buttons\r\n        </li>\r\n        <li >Zip fastening</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >Embossed leather card pocket</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 28 x 20.5 x 5.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1BQ954LETF</li>\r\n    </ul>"""
22,EN1BQ954TTSD6FF,"""<p >\r\n        1945 Soft Moon bag in embossed crinkled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Chain handle interlaced with leather\r\n        </li>\r\n        <li >\r\n            Adjustable removable shoulder strap with a buckle and snap hooks\r\n        </li>\r\n        <li >\r\n            Metal side plaques with engraved B buttons\r\n        </li>\r\n        <li >Zip fastening</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >Embossed leather card pocket</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 28 x 20.5 x 5.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1BQ954LETF</li>\r\n    </ul>"""
23,DN0FD871LETF0DA,"""<p >\r\n        Small 1945 Soft bag in embossed crackled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand or wear on the shoulder\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Adjustable side gussets, 3 press studs\r\n        </li>\r\n        <li >\r\n            Double handles in leather and chains interlaced with leather\r\n        </li>\r\n        <li >Engraved eyelets</li>\r\n        <li >Magnetic clasp</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside pockets with press studs</li>\r\n        <li >Leather card pocket</li>\r\n        <li >Reinforced bottom</li>\r\n        <li >Metal bag feet</li>\r\n        <li >Gold hardware</li>\r\n        <li >Dimensions: 28 x 21 x 9.8 cm</li>\r\n        <li >\r\n            Main material: 100% calfskin leather\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: DN0FD871LETF</li>\r\n    </ul>"""
24,EN1DA961TECSGAU,"""<p>Small Jolie Madame bag in leather and printed \""Love Letter\"" canvas</p>\r\n    <ul>\r\n        <li>Carry in the hand, on the shoulder or across the body</li>\r\n        <li>\r\n            Leather and chain shoulder strap, adjustable and detachable with\r\n            snap hooks\r\n        </li>\r\n        <li>Leather handle with engraved B logos and rings</li>\r\n        <li>Structured side panels</li>\r\n        <li>Metal Balmain Paris logo on the front</li>\r\n        <li>Magnetic fastening and leather tab</li>\r\n        <li>Engraved metal bag feet</li>\r\n        <li>Inside leather card pocket, embossed Balmain logo</li>\r\n        <li>Leather lining</li>\r\n        <li>Gold hardware</li>\r\n        <li>Dimensions: 8.5 x 28.5 x 21&nbsp;cm</li>\r\n        <li>Main material: 58% cotton 42% linen</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1DA961TECS</li>\r\n    </ul>"""
25,EN1LN245LVGU0PA,"""<p >Crewneck zipped calfskin pouch</p>\r\n    <ul >\r\n        <li >For carrying in the hand</li>\r\n        <li >Round neckline effect</li>\r\n        <li >Metal Balmain Couture label</li>\r\n        <li >\r\n            Chain handle interlaced with leather\r\n        </li>\r\n        <li >Zip fastening</li>\r\n        <li >Suede-look lining</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >Embossed leather card pocket</li>\r\n        <li >Gold hardware</li>\r\n        <li >Dimensions: 13 x 31 x 3&nbsp;cm</li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1LN245LVGU</li>\r\n    </ul>"""
26,DN1FM872TCFEGEM,"""<p>Small canvas B-army Grocery Bag with leather detailing</p>\r\n    <ul>\r\n        <li>Tote bag shape</li>\r\n        <li>Removable leather shoulder strap</li>\r\n        <li>Embroidered Balmain Paris logo</li>\r\n        <li>Press-stud clasp at the top of the bag</li>\r\n        <li>Patch pocket and embossed logo on the inside</li>\r\n        <li>Removable leather card holder</li>\r\n        <li>Leather bag feet</li>\r\n        <li>Golden hardware</li>\r\n        <li>Comes with a protective cover</li>\r\n        <li>Dimensions: 16 x 15 x 5.5 cm</li>\r\n        <li>Main material: 100% calfskin leather</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: DN1FM872TCFE</li>\r\n    </ul>"""
27,EN1VI736KRCTEAB,"""<p >\r\n        Unicorn Wave trainers in neoprene and calfskin with an all-over \""Love\r\n        Letter\"" print\r\n    </p>\r\n    <ul >\r\n        <li >Padded upper with wave details</li>\r\n        <li >Lace fastening</li>\r\n        <li >\r\n            3D Balmain logo on the tongue and embossed on the side\r\n        </li>\r\n        <li >\r\n            Hollow sole with air-cushion effect, B studs\r\n        </li>\r\n        <li >Neoprene lining</li>\r\n        <li >Leather insole</li>\r\n        <li >Sole height: 7&nbsp;cm</li>\r\n        <li >\r\n            Main material: 50% polyurethane 50% nylon\r\n        </li>\r\n        <li >Made in China</li>\r\n        <li >Item: EN1VI736KRCT</li>\r\n    </ul>"""
28,EM1VI360TRIDSEE,"""<p>Balmain Swan trainers in distressed denim</p>\r\n    <ul>\r\n        <li>Multi-material design in distressed denim and textured mesh</li>\r\n        <li>Textured lace fastening</li>\r\n        <li>Diamond-embossed leather tongue with PB logo</li>\r\n        <li>PB logo inserts in textured mesh on the sides</li>\r\n        <li>Textured mesh insert at the back</li>\r\n        <li>Textured rubber outsole with raised Balmain logo</li>\r\n        <li>Leather lining</li>\r\n        <li>Contrasting leather insole</li>\r\n        <li>Main material: 52% polyester 48% cotton</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EM1VI360TRID</li>\r\n    </ul>"""
29,EN1VI735TRIDSEE,"""<p >\r\n        Balmain Swan trainers in distressed denim\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Multi-material design in distressed denim and textured mesh\r\n        </li>\r\n        <li >Textured lace fastening</li>\r\n        <li >\r\n            Diamond-embossed leather tongue with PB logo\r\n        </li>\r\n        <li >\r\n            PB logo inserts in textured mesh on the sides\r\n        </li>\r\n        <li >Textured mesh insert at the back</li>\r\n        <li >\r\n            Textured rubber outsole with raised Balmain logo\r\n        </li>\r\n        <li >Leather lining</li>\r\n        <li >Contrasting leather insole</li>\r\n        <li >\r\n            Main material: 52% polyester 48% cotton\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1VI735TRID</li>\r\n    </ul>"""
30,CN0VI727TDNM6KF,"""<p >\r\n        B-Court Flip sneakers in monogrammed PB Labyrinth denim\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Multi-material design in calfskin, suede and monogram denim\r\n        </li>\r\n        <li >Lace fastening</li>\r\n        <li >Woven label with Balmain logo</li>\r\n        <li >B logo embossed on the heel</li>\r\n        <li >Printed Balmain logo on the side</li>\r\n        <li >\r\n            Thick rubber outsole with raised Balmain logo\r\n        </li>\r\n        <li >Technical fabric lining</li>\r\n        <li >Leather insole</li>\r\n        <li >Sole height: 3.5 cm</li>\r\n        <li >\r\n            Main material: 100% calfskin leather\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: CN0VI727TDNM</li>\r\n    </ul>"""
31,DN1VI714TRCMEAB,"""<p>B-East trainers in leather, suede and mesh</p>\r\n    <ul>\r\n        <li>Laces on the top</li>\r\n        <li>Thick soles</li>\r\n        <li>Mesh insert</li>\r\n        <li>Balmain logo</li>\r\n        <li>This item fits true to size (select your usual size)</li>\r\n        <li>Main material: suede, calfskin</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: DN1VI714TRCM</li>\r\n    </ul>"""
32,CN0VI730LLNP0CV,"""<p>Run-Row leather and nylon sneakers</p>\r\n    <ul>\r\n        <li>Multi-material design in leather and nylon</li>\r\n        <li>Lace fastening</li>\r\n        <li>\r\n            Balmain logo printed on the tongue and embossed on the side and heel\r\n        </li>\r\n        <li>B logo embossed on the front</li>\r\n        <li>Thick, sculpted outsole</li>\r\n        <li>Technical fabric lining and insole</li>\r\n        <li>Sole height: 5 cm</li>\r\n        <li>Upper height: 6 cm</li>\r\n        <li>Main material: 100% calfskin leather</li>\r\n        <li>Made in China</li>\r\n        <li>Item: CN0VI730LLNP</li>\r\n    </ul>"""
33,EN1VI733TRGYGRU,"""<p>Cosmic Dust trainers in technical materials</p>\r\n    <ul>\r\n        <li>Lace fastening with stopper and silver metal loops</li>\r\n        <li>Tongue with printed Balmain and PB logos</li>\r\n        <li>PB logo embossed on the sides</li>\r\n        <li>Balmain logo printed on the front and back</li>\r\n        <li>Sculpted Vibram rubber outsole</li>\r\n        <li>Technical fabric lining and insole</li>\r\n        <li>Main material: 50% polyurethane 50% nylon</li>\r\n        <li>Made in China</li>\r\n        <li>Item: EN1VI733TRGY</li>\r\n    </ul>"""
34,EN1UH078LVHSEAW,"""<p>Suede Ruby heels with rhinestone bows</p>\r\n    <ul>\r\n        <li>Open square toe</li>\r\n        <li>Suede leather front strap</li>\r\n        <li>Suede bow with rhinestone embellishment</li>\r\n        <li>Suede back strap</li>\r\n        <li>Leather-covered stiletto heel</li>\r\n        <li>Leather outsole</li>\r\n        <li>Contrasting Diamond-embossed leather insole</li>\r\n        <li>Leather lining</li>\r\n        <li>Gold hardware</li>\r\n        <li>Heel height: 9.5&nbsp;cm</li>\r\n        <li>Main material: 100% goatskin</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1UH078LVHS</li>\r\n    </ul>"""
35,EN1TE108LTBC0PA,"""<p>Eden calfskin ankle boots</p>\r\n    <ul>\r\n        <li>Pointed toe</li>\r\n        <li>Gold Balmain Couture logo printed on the side</li>\r\n        <li>Lacquered flower stem-inspired heel</li>\r\n        <li>Back zip with Balmain-engraved slider</li>\r\n        <li>Leather outsole</li>\r\n        <li>Contrasting leather insole embossed with a Diamond motif</li>\r\n        <li>Leather lining</li>\r\n        <li>Heel height: 9.5&nbsp;cm</li>\r\n        <li>Main material: 100% calfskin</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1TE108LTBC</li>\r\n    </ul>"""
36,EN1UG866TJMAGFE,"""<p>Alex canvas espadrilles with PB Labyrinth monogram</p>\r\n    <ul>\r\n        <li>Round toe</li>\r\n        <li>Woven upper with PB Labyrinth monogram</li>\r\n        <li>Rope and rubber outsole</li>\r\n        <li>Contrasting diamond-embossed leather insole</li>\r\n        <li>Leather lining</li>\r\n        <li>Heel height: 4&nbsp;cm</li>\r\n        <li>Main material: 84% cotton 16% polyester</li>\r\n        <li>Made in Spain</li>\r\n        <li>Item: EN1UG866TJMA</li>\r\n    </ul>"""
37,CBPS156156A,"""<p >B-Eye Sunglasses</p>\r\n    <ul >\r\n        <li >Square cat-eye shape</li>\r\n        <li >Smoke lenses</li>\r\n        <li >Mother-of-pearl acetate frame</li>\r\n        <li >Bridge with metallic detail</li>\r\n        <li >\r\n            Hinges and screws with engraved B logo\r\n        </li>\r\n        <li >\r\n            Raised golden Balmain logo on one of the temples\r\n        </li>\r\n        <li >Coloured hardware</li>\r\n        <li >Main material: acetate</li>\r\n        <li >Made in Japan</li>\r\n        <li >Item: CBPS156</li>\r\n    </ul>"""
38,EN1ON197LCLLGA,"""<p>B-Buzz wallet in printed \""Love Letter\"" calfskin</p>\r\n    <ul>\r\n        <li>Carry in the hand, on the shoulder or across the body</li>\r\n        <li>Detachable chain strap</li>\r\n        <li>Flap with B-Twist clasp and press stud</li>\r\n        <li>Inside zipped pocket</li>\r\n        <li>12 inside leather card pockets</li>\r\n        <li>Contrasting leather lining</li>\r\n        <li>Vintage gold hardware</li>\r\n        <li>Dimensions: 20 x 11 x 3&nbsp;cm</li>\r\n        <li>Main material: 100% calfskin</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1ON197LCLL</li>\r\n    </ul>"""
39,EN1WJ000LVTL0PA,"""<p>Thin calfskin B-Belt</p>\r\n    <ul>\r\n        <li>Adjustable fastening, stud button</li>\r\n        <li>Engraved gold metal B buckle</li>\r\n        <li>Embossed Balmain logo</li>\r\n        <li>Width: 2&nbsp;cm</li>\r\n        <li>Main material: 100% calfskin leather</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1WJ000LVTL</li>\r\n    </ul>"""
40,EN4XM426MBPTX99,"""<p>Brass, metal and rhinestone safety pin brooch</p>\r\n    <ul>\r\n        <li>Silver safety pin with inlaid rhinestones</li>\r\n        <li>Engraved Balmain Paris plaque in gold brass</li>\r\n        <li>Pin fastening</li>\r\n        <li>Balmain Paris logo engraved on the back</li>\r\n        <li>One size</li>\r\n        <li>Main material: 70% brass 20% copper 10% zamac</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN4XM426MBPT</li>\r\n    </ul>"""
41,EF1XF090SE90GAB,"""<p>Printed silk \""Love Letter\"" bandana</p>\r\n    <ul>\r\n        <li>Reversible</li>\r\n        <li>Balmain Couture logos</li>\r\n        <li>Dimensions: 96 x 8.5 cm</li>\r\n        <li>Main material: 100% silk</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EF1XF090SE90</li>\r\n    </ul>"""
42,CF1XA070MB38GEM,"""<p>Cotton B-Army cap with Balmain logo</p>\r\n    <ul>\r\n        <li>Adjustable fastening</li>\r\n        <li>Fits true to size: select your usual size.</li>\r\n        <li>Main material: 58% Cotton, 42% Linen</li>\r\n        <li>Made in Bulgaria</li>\r\n        <li>Item: CF1XA070MB38</li>\r\n    </ul>"""
